Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2021.0,12.0,38.93287735727812,0.5076620986471759,1.0,10.590073041046846,4.771824995246861,0.0,3444.0,7583.0,215.85714285714286,139.91576413959086,8403.523809523811,1,2021-03-28
2021.0,12.0,38.83593967881858,0.5082279681678871,0.98,10.85173413917851,4.878864289522038,0.0,3559.0,10989.0,226.28571428571428,142.45367027677497,8612.57142857143,1,2021-03-29
2021.0,12.0,38.747356656102184,0.5087914376243139,0.96,11.136812977520497,4.990668450955641,0.0,3588.0,20385.0,228.57142857142858,143.5740072202166,8827.714285714286,1,2021-03-30
2021.0,12.0,38.667128289128925,0.5093525070164563,0.96,11.420522863874025,5.113289498399992,0.0,3668.0,24004.0,234.0,145.20096269554753,9028.190476190475,1,2021-03-31
2021.0,13.0,38.80998543198607,0.5099111763443144,0.96,11.705825450080559,5.22308714672573,0.0,3719.0,21440.0,233.42857142857142,144.661853188929,9199.42857142857,1,2021-04-01
2021.0,13.0,38.73811172075595,0.5103032008787644,0.96,11.896006323162771,5.305030591806486,0.0,3839.0,15493.0,225.14285714285714,139.19494584837545,9337.904761904761,1,2021-04-02
2021.0,13.0,38.66623800952584,0.5105285806198061,0.98,12.097871405967224,5.382837107284154,0.0,3905.0,10636.0,222.28571428571428,133.00842358604092,9401.333333333334,1,2021-04-03
2021.0,13.0,38.59436429829572,0.5105873155674397,0.97,12.269713374775208,5.443691714658679,0.0,4047.0,7148.0,224.42857142857142,132.4849578820698,9419.42857142857,1,2021-04-04
2021.0,13.0,38.522490587065604,0.5104794057216654,1.0,12.483890604857242,5.528403137354062,0.0,4152.0,7047.0,214.28571428571428,127.74127557160048,9428.57142857143,1,2021-04-05
2021.0,13.0,38.450616875835486,0.5102048510824827,1.03,12.820017638789988,5.642561463147434,0.0,4342.0,11510.0,210.71428571428572,117.06137184115524,9363.809523809525,1,2021-04-06
2021.0,13.0,38.378743164605375,0.509763651649892,1.06,13.508766495465467,5.7586661547732545,0.0,4428.0,23731.0,209.28571428571428,116.73285198555956,9253.904761904761,1,2021-04-07
2021.0,14.0,38.378743164605375,0.5091558074238931,1.11,14.245279506494011,5.864400253171912,0.0,4461.0,25764.0,213.42857142857142,121.93622141997594,9166.380952380952,1,2021-04-08
2021.0,14.0,38.306869453375256,0.5086821247492649,1.12,14.899976584665682,5.971633221673926,0.0,4501.0,23296.0,220.57142857142858,131.32611311672684,9114.857142857143,1,2021-04-09
2021.0,14.0,38.23499574214514,0.5083426036260071,1.12,15.270405609767966,6.050009933322535,0.0,4517.0,18063.0,226.0,140.26353790613717,9187.333333333332,1,2021-04-10
2021.0,14.0,38.16312203091502,0.50813724405412,1.14,15.527689189194879,6.11068650476183,0.0,4566.0,8860.0,224.14285714285714,142.323706377858,9302.285714285714,1,2021-04-11
